,area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,ratio_length,perimeter_ratio_major,perimeter_ratio_minor,area_ratio_convex,area_ratio_bbox,peri_over_dia,Finding
4,157,233,435,30.55195991,9.633696066,73.6629509,14.13855044,134.9235669,0.673819742,0.948984838,3.171364313,2.411071209,7.646385188,0.673819742,0.36091954,5.210078022,Covid-19
5,954,1579,3234,155.0953061,12.38491813,367.7878426,34.85212369,131.6006289,0.604179861,0.996806603,12.52291735,2.37136669,29.69642906,0.604179861,0.294990724,10.55281009,Covid-19
6,2154,4040,7958,177.8013966,23.94159511,462.8061325,52.36943746,134.6629526,0.533168317,0.990892735,7.426464103,2.602938679,19.33063067,0.533168317,0.270671023,8.837332518,Covid-19
7,35796,51624,90060,288.5644395,240.2361774,1905.574819,213.4874299,145.5414292,0.693398419,0.553992334,1.201169794,6.60363703,7.932089328,0.693398419,0.397468354,8.925934511,Covid-19
8,178,248,270,18.59877953,16.52270191,70.87005769,15.05445578,154.0842697,0.717741935,0.459117408,1.125650007,3.810468186,4.28925354,0.717741935,0.659259259,4.707580181,Covid-19
9,565,801,1240,40.2400259,23.37324649,159.1309883,26.82126661,131.8637168,0.70536829,0.814013673,1.721627585,3.954544878,6.808253549,0.70536829,0.455645161,5.933015417,Covid-19
1,109,150,255,17.23275397,10.75328554,55.52691193,11.78062436,156.7155963,0.726666667,0.78142216,1.602557089,3.222172847,5.163715937,0.726666667,0.42745098,4.713409937,Covid-19
2,251,367,544,33.65072221,13.30985483,84.18376618,17.87688803,133.2390438,0.683923706,0.918453254,2.528256142,2.501692702,6.324919939,0.683923706,0.461397059,4.709083932,Covid-19
3,298,441,738,36.87353157,14.96490738,113.7045815,19.47884453,130.5134228,0.675736961,0.913942295,2.463999986,3.083636869,7.598081204,0.675736961,0.403794038,5.83733708,Covid-19
1,175,445,460,33.76750262,21.70527659,103.7989899,14.9270533,167.7428571,0.393258427,0.766045827,1.555727819,3.073931497,4.782200744,0.393258427,0.380434783,6.953749529,Covid-19
4,1052,1613,7965,147.1555358,10.5032937,322.0132393,36.59846993,133.7994297,0.652200868,0.99744952,14.01041807,2.188250939,30.65831049,0.652200868,0.132077841,8.798543763,Covid-19
1,87517,179001,201804,428.7923778,412.970549,5823.923553,333.8114816,137.9860141,0.488919056,0.269138719,1.038312245,13.5821527,14.10251547,0.488919056,0.433673267,17.44674427,Covid-19
1,389,532,779,35.92133649,16.7449889,119.8406204,22.25511588,134.1439589,0.731203008,0.884701918,2.145199182,3.336196036,7.156805008,0.731203008,0.499358151,5.384857175,Covid-19
3,705,808,1058,45.46232359,20.50155851,120.9116882,29.9605387,132.1361702,0.872524752,0.892545616,2.217505736,2.659602033,5.897682762,0.872524752,0.666351607,4.035698072,Covid-19
1,229,309,414,24.12422412,15.99168479,84.9411255,17.07547527,134.8995633,0.741100324,0.748717613,1.508548001,3.520988906,5.311580777,0.741100324,0.553140097,4.974451612,Covid-19
2,198,285,380,19.84662628,16.42587639,77.9411255,15.87770229,133.520202,0.694736842,0.561258239,1.208253721,3.927172528,4.745020821,0.694736842,0.521052632,4.9088416,Covid-19
3,98203,170549,194922,480.3567585,361.068868,3553.507935,353.604218,155.9823121,0.575805194,0.65954152,1.330374344,7.397643256,9.841634794,0.575805194,0.503806651,10.04939351,Covid-19
5,179,431,1260,59.92364769,10.16942361,113.3969696,15.09668435,136.6871508,0.415313225,0.985494675,5.892531375,1.892357592,11.15077648,0.415313225,0.142063492,7.51138243,Covid-19
2,397,696,1296,44.92093756,16.86832301,144.4680374,22.48279563,130.138539,0.570402299,0.926817785,2.663035177,3.216051251,8.564457611,0.570402299,0.30632716,6.425715014,Covid-19
5,164,230,323,18.62642818,17.31965676,77.59797975,14.45030399,131.3536585,0.713043478,0.367956119,1.075450192,4.166015031,4.480341663,0.713043478,0.507739938,5.369989435,Covid-19
6,108,140,195,15.95877868,10.7883601,49.45584412,11.72646029,132.1944444,0.771428571,0.736888646,1.47925899,3.098974246,4.584185515,0.771428571,0.553846154,4.21745718,Covid-19
1,189,295,340,24.19739414,20.39491037,103.5979797,15.51264884,178.5132275,0.640677966,0.538139715,1.186442779,4.281369272,5.079599659,0.640677966,0.555882353,6.678290783,Covid-19
1,283,397,510,29.68294987,15.95098839,97.01219331,18.98227571,133.5194346,0.712846348,0.843340981,1.860884676,3.268280065,6.081892289,0.712846348,0.554901961,5.110672439,Covid-19
2,84904,128041,160140,454.7005154,291.113995,3254.40743,328.7904048,159.6422901,0.663100101,0.76818129,1.561932862,7.157254764,11.17915142,0.663100101,0.530186087,9.898121667,Covid-19
3,148,200,340,20.29921608,11.96251634,63.73401872,13.72732504,132.6824324,0.74,0.80790753,1.696901847,3.139728079,5.327810377,0.74,0.435294118,4.642857844,Covid-19
4,154,189,306,17.67163272,12.47894993,57.52691193,14.00281721,130.9805195,0.814814815,0.708055131,1.416115364,3.255325235,4.609916079,0.814814815,0.503267974,4.10823844,Covid-19
5,171,234,238,17.92882818,16.13311215,68.24873734,14.75547228,152.1111111,0.730769231,0.436216026,1.111306239,3.806647967,4.230351635,0.730769231,0.718487395,4.625317039,Covid-19
1,418,550,850,43.43093993,14.53371847,117.3259018,23.06976657,133.0502392,0.76,0.942346138,2.988288236,2.701435935,8.072669223,0.76,0.491764706,5.085699564,Covid-19
4,1031,1481,5676,171.4233553,9.026344986,373.3086579,36.23133962,135.2696411,0.696151249,0.998612748,18.99144732,2.177700099,41.35767672,0.696151249,0.181642001,10.30347378,Covid-19
5,60715,99092,156527,315.4318677,290.8744222,2174.177849,278.0372978,149.0097999,0.612713438,0.386840614,1.08442628,6.892701948,7.474627135,0.612713438,0.387888352,7.819734497,Covid-19
6,748,1246,3564,173.6766583,7.332993004,363.645707,30.86070608,135.2125668,0.600321027,0.99910825,23.68427983,2.093808751,49.59035236,0.600321027,0.209876543,11.78345389,Covid-19
7,128,241,255,20.13666958,18.63812686,87.04163056,12.76615297,164.046875,0.531120332,0.378548634,1.080402002,4.322543518,4.670084673,0.531120332,0.501960784,6.818156632,Covid-19
1,17481,23051,29652,354.4307771,75.04359559,943.0487732,149.1894785,142.5586637,0.758361893,0.977328218,4.722998336,2.66074177,12.56667895,0.758361893,0.589538648,6.321147999,Covid-19
3,84539,157152,186900,582.9731444,363.2248436,3559.040943,328.0829131,146.6944132,0.537944156,0.782177329,1.604992485,6.10498267,9.798451308,0.537944156,0.452322097,10.84799239,Covid-19
4,4144,6860,12012,179.940876,43.78283082,666.8122292,72.63817642,141.1778475,0.604081633,0.969946604,4.109850198,3.705729594,15.22999351,0.604081633,0.344988345,9.179914228,Covid-19
5,162,206,280,18.84189758,12.1821314,60.90559159,14.36192209,130.5740741,0.786407767,0.762875997,1.546683168,3.232455295,4.999584195,0.786407767,0.578571429,4.240768832,Covid-19
6,484,588,896,30.29600838,23.71139859,108.7401154,24.82434168,132.303719,0.823129252,0.622452582,1.277698077,3.589255522,4.585984878,0.823129252,0.540178571,4.380382642,Covid-19
7,10002,16852,24080,305.7528236,57.61608654,1218.58492,112.8491999,134.1023795,0.593520057,0.982084689,5.306726678,3.98552303,21.15008139,0.593520057,0.415365449,10.79834789,Covid-19
1,206,259,336,27.2554622,11.40495287,73.9411255,16.19528778,133.0291262,0.795366795,0.908241445,2.389791743,2.712892005,6.483246912,0.795366795,0.613095238,4.565595037,Covid-19
2,122,141,210,22.44762172,7.682493048,51.79898987,12.46335526,132.1065574,0.865248227,0.939612262,2.921918911,2.307549126,6.742471428,0.865248227,0.580952381,4.156103134,Covid-19
3,13783,30227,60768,428.4190675,66.26157629,1269.733152,132.4728676,143.5220199,0.455983062,0.98796692,6.465573134,2.963764334,19.16243505,0.455983062,0.226813454,9.584854434,Covid-19
5,92287,168010,239616,495.395993,412.4789434,3660.822689,342.7877738,165.44963,0.549294685,0.55383761,1.201021291,7.389689746,8.875174717,0.549294685,0.385145399,10.67956027,Covid-19
6,114,228,475,34.21515556,8.246339065,73.35533906,12.04779267,130.0438596,0.5,0.970521584,4.14913276,2.143942877,8.895503627,0.5,0.24,6.08869534,Covid-19
8,120,167,240,18.14176116,11.88294071,54.04163056,12.36077446,131.7,0.718562874,0.755624713,1.52670636,2.978852499,4.547833056,0.718562874,0.5,4.372026261,Covid-19
9,117,165,228,20.06248672,10.16570764,54.627417,12.20528684,130.8632479,0.709090909,0.862121109,1.973545515,2.722863709,5.373695462,0.709090909,0.513157895,4.475717591,Covid-19
10,197,311,440,22.39623192,20.04575337,83.14823228,15.83755632,130.8172589,0.633440514,0.445965266,1.117255685,3.71259918,4.147922542,0.633440514,0.447727273,5.250067029,Covid-19
1,542,894,1026,46.82923269,33.60651056,190.5685425,26.26967516,174.4095941,0.606263982,0.696414706,1.393457158,4.069435512,5.670584042,0.606263982,0.528265107,7.254316671,Covid-19
1,119246,209566,260608,652.0593104,386.0021119,4077.973014,389.6520534,152.7875065,0.569014058,0.805957113,1.689263582,6.253990931,10.56463912,0.569014058,0.457568455,10.46567823,Covid-19
2,12372,21921,51800,363.9141024,70.90021009,1280.064105,125.5090421,135.1044294,0.564390311,0.980837667,5.132764796,3.517489694,18.05444727,0.564390311,0.238841699,10.19897916,Covid-19
3,617,963,3915,93.78712304,12.53014815,210.2375901,28.02835705,134.1572123,0.640706127,0.991035066,7.484917328,2.241646649,16.77853984,0.640706127,0.157598978,7.50088882,Covid-19
4,110,138,348,32.27419847,4.583107399,65.45584412,11.83454055,132.8818182,0.797101449,0.989865897,7.041990436,2.0281168,14.28197911,0.797101449,0.316091954,5.530915533,Covid-19
5,194,249,352,34.5152432,8.360509218,74.83452378,15.71650316,129.5051546,0.779116466,0.97021971,4.128366144,2.16815867,8.950952846,0.779116466,0.551136364,4.761525067,Covid-19
1,1345,1838,4469,108.7918146,19.5326894,265.3086579,41.38245024,137.5078067,0.731773667,0.983750327,5.569730431,2.438682165,13.58280226,0.731773667,0.300962184,6.411139416,Covid-19
2,10849,39110,77968,465.8554286,103.9557721,1362.495562,117.5303187,147.0836943,0.277397085,0.974784053,4.48128487,2.92471758,13.10649264,0.277397085,0.139146829,11.59271562,Covid-19
3,11183,36922,48360,606.2146821,75.45119313,1497.537193,119.3257635,142.7111687,0.302881751,0.992224271,8.034527448,2.470308352,19.84776026,0.302881751,0.23124483,12.54999046,Covid-19
4,4104,4931,6930,89.95659901,62.0433455,364.1259377,72.28675599,135.6581384,0.83228554,0.72409228,1.449899232,4.047795734,5.868895927,0.83228554,0.592207792,5.037242752,Covid-19
5,4775,6530,9540,123.3575805,64.45111329,445.7056275,77.97255175,135.4395812,0.731240429,0.852655293,1.913971291,3.613119078,6.915406185,0.731240429,0.500524109,5.716186241,Covid-19
6,592,905,1260,44.10162763,24.93223121,154.882251,27.45465007,133.4425676,0.654143646,0.824860822,1.768860045,3.511939566,6.212129579,0.654143646,0.46984127,5.641384997,Covid-19
7,938,1248,1653,55.04860484,24.90749484,184.0243866,34.5586269,130.6620469,0.751602564,0.891782827,2.210122102,3.342943698,7.388313752,0.751602564,0.567453116,5.324991273,Covid-19
9,101,109,154,13.41561102,10.48737861,40.14213562,11.34007028,131.8415842,0.926605505,0.623617689,1.279214904,2.992195851,3.827661527,0.926605505,0.655844156,3.539848927,Covid-19
1,766,926,1100,50.59004548,20.84100773,135.2253967,31.22981734,138.2206266,0.827213823,0.911202533,2.427427989,2.672964522,6.488428896,0.827213823,0.696363636,4.330009211,Covid-19
2,263,423,656,35.76139219,14.41042012,116.8406204,18.29923496,132.8441065,0.621749409,0.915217473,2.481634254,3.267227959,8.10806482,0.621749409,0.400914634,6.385000284,Covid-19
3,12278,36712,65780,409.1664567,109.134133,1788.567676,125.0313366,140.3527447,0.334441055,0.963773212,3.749207013,4.371247072,16.38871018,0.334441055,0.186652478,14.30495526,Covid-19
4,1263,2642,4374,77.23608936,39.87174149,331.8650071,40.10114144,140.8939034,0.478046934,0.856448781,1.937113516,4.296760877,8.323313571,0.478046934,0.288751715,8.275699771,Covid-19
5,5166,13798,35952,402.4845873,28.97268434,1002.961508,81.10212998,139.596206,0.374402087,0.997405745,13.89186389,2.491925254,34.61748645,0.374402087,0.143691589,12.36664817,Covid-19
6,226,266,462,41.1361378,7.246562031,88.87005769,16.96325845,130.9867257,0.84962406,0.98436146,5.67664192,2.160388953,12.2637545,0.84962406,0.489177489,5.238973277,Covid-19
2,113,120,128,68.16276563,1.946531243,112.2071068,11.99483508,135.1504425,0.941666667,0.999592163,35.0175554,1.646164233,57.64464722,0.941666667,0.8828125,9.354618554,Covid-19
1,117,176,418,26.62098442,8.369067053,62.59797975,12.20528684,133.4358974,0.664772727,0.949297695,3.180878376,2.351452477,7.479684336,0.664772727,0.279904306,5.128759413,Covid-19
2,169,211,306,17.75219466,13.71320714,57.28427125,14.66892917,136.7278107,0.800947867,0.635039654,1.294532671,3.226883906,4.177306641,0.800947867,0.552287582,3.905143353,Covid-19
1,484,760,1312,41.79552402,26.40436684,161.7167748,24.82434168,161.142562,0.636842105,0.77517133,1.58290196,3.869236684,6.12462233,0.636842105,0.368902439,6.514443641,Covid-19
2,247,290,490,33.41671237,10.83542509,84.11269837,17.73387063,184.0445344,0.851724138,0.94597085,3.084024123,2.517084788,7.762750206,0.851724138,0.504081633,4.743053568,Covid-19
3,177,200,247,21.18858211,11.28156936,55.21320344,15.01210843,133.1977401,0.885,0.846470101,1.878159095,2.60579982,4.894106632,0.885,0.71659919,3.677911314,Covid-19
5,426,611,1044,30.63349686,23.15582696,109.3259018,23.28948359,135.3403756,0.697217676,0.654688349,1.322928216,3.568835198,4.721312783,0.697217676,0.408045977,4.694217515,Covid-19
6,131,163,198,33.11340569,5.449483847,68.59188309,12.91488987,131.3206107,0.803680982,0.986365353,6.076429736,2.07142339,12.58685869,0.803680982,0.661616162,5.311069919,Covid-19
7,230,297,1107,52.51801752,6.415068944,105.6396103,17.11271736,131.6826087,0.774410774,0.992511667,8.186664552,2.011492727,16.46741621,0.774410774,0.207768744,6.173163976,Covid-19
8,217,270,378,28.70197728,11.25877753,76.69848481,16.62206309,133.2258065,0.803703704,0.919852308,2.549297843,2.672236971,6.812327945,0.803703704,0.574074074,4.614257834,Covid-19
1,291,464,616,144.7233338,3.087236126,236.6923882,19.24870665,140.2886598,0.627155172,0.999772447,46.87796071,1.635481867,76.6680547,0.627155172,0.472402597,12.29653465,Covid-19
2,631,1076,3082,134.9945347,9.175009218,275.4030663,28.34456125,133.9445325,0.586431227,0.997687653,14.713286,2.040105304,30.01665282,0.586431227,0.204737184,9.716257867,Covid-19
3,102,215,384,55.08691301,3.848369348,79.27817459,11.39607097,131.0980392,0.474418605,0.997556809,14.31435188,1.439147163,20.6004589,0.474418605,0.265625,6.956623454,Covid-19
4,29396,42091,74562,244.5092808,206.4305578,1398.779833,193.4635616,138.255613,0.69839158,0.535926389,1.184462627,5.720763763,6.776030876,0.69839158,0.394249081,7.230197883,Covid-19
5,138,241,255,19.95406652,18.15340779,91.35533906,13.25545387,165.9275362,0.572614108,0.41513502,1.099191223,4.578281774,5.032407143,0.572614108,0.541176471,6.891905776,Covid-19
1,242,329,384,26.60014831,19.1631108,106.1837662,17.55346034,163.5578512,0.73556231,0.69354461,1.388091349,3.991848653,5.541050579,0.73556231,0.630208333,6.049164332,Covid-19
1,175,203,280,20.98080368,11.38829329,54.04163056,14.9270533,152.1028571,0.862068966,0.839864667,1.842313256,2.575765514,4.745366949,0.862068966,0.625,3.620381696,Covid-19
1,344,353,391,24.56792625,18.1616894,68.97056275,20.92831583,149.1075581,0.974504249,0.673437799,1.352733532,2.807341655,3.797585193,0.974504249,0.879795396,3.295562018,Covid-19
1,546,836,931,58.67862841,18.98541373,212.8883476,26.36643304,146.7234432,0.653110048,0.946211404,3.090721606,3.62803892,11.21325828,0.653110048,0.586466165,8.074218735,Covid-19
2,469,635,770,40.43009955,17.89120961,135.9827561,24.43663943,147.9339019,0.738582677,0.896757635,2.259774517,3.363403938,7.60053451,0.738582677,0.609090909,5.564707719,Covid-19
1,241,292,368,24.60723009,13.62239995,68.07716447,17.51715531,134.593361,0.825342466,0.832787102,1.806379946,2.766551303,4.997442793,0.825342466,0.654891304,3.886313916,Covid-19
2,169,294,425,22.96643961,15.13745324,77.42640687,14.66892917,135.4260355,0.574829932,0.752044897,1.517193101,3.371284717,5.114889913,0.574829932,0.397647059,5.278258962,Covid-19
3,279,456,780,28.45235848,20.95121288,97.04772721,18.84764794,142.2150538,0.611842105,0.676588635,1.358029181,3.410885156,4.632081577,0.611842105,0.357692308,5.149063029,Covid-19
4,111,124,195,17.26178846,8.494954506,42.627417,11.88821221,140.036036,0.89516129,0.870524648,2.032004816,2.469467001,5.017968839,0.89516129,0.569230769,3.58568776,Covid-19
6,154,236,350,28.88201218,10.50316474,73.42640687,14.00281721,137.3181818,0.652542373,0.931532668,2.749839014,2.542288481,6.990884048,0.652542373,0.44,5.243688163,Covid-19
8,104,133,153,18.23748549,8.487497517,47.59188309,11.50725478,137.9134615,0.781954887,0.885107049,2.148747078,2.609563863,5.607292726,0.781954887,0.679738562,4.135815534,Covid-19
1,187,263,306,166.7265648,1.512782416,185,15.43035304,144.459893,0.711026616,0.999958836,110.2118607,1.109601222,122.2912152,0.711026616,0.611111111,11.98935627,Covid-19
1,180,239,304,20.64518246,13.78480634,69.35533906,15.13879513,131.7055556,0.753138075,0.744429677,1.497676641,3.359395792,5.031288605,0.753138075,0.592105263,4.581298475,Covid-19
2,134,215,784,42.60477353,6.074472128,79.36143571,13.0619332,134.5597015,0.623255814,0.989783675,7.013740886,1.862735772,13.06474604,0.623255814,0.170918367,6.075780245,Covid-19
3,88953,148732,162983,516.1363833,351.7170912,4066.067422,336.5389684,159.536924,0.598075734,0.731871973,1.467475981,7.877893429,11.56061938,0.598075734,0.545780848,12.08201072,Covid-19
4,300,319,368,23.50813375,16.72749974,66.38477631,19.54410048,131.1933333,0.940438871,0.702623095,1.405358489,2.823906696,3.968601247,0.940438871,0.815217391,3.39666573,Covid-19
1,116,174,192,30.03865734,7.726530881,69.6629509,12.15301556,151.8793103,0.666666667,0.966352982,3.887728891,2.31911001,9.016070987,0.666666667,0.604166667,5.732153519,Covid-19
4,818,1606,2849,83.33661838,21.62516863,288.2853173,32.27243325,133.8899756,0.509339975,0.965745313,3.853686407,3.45928744,13.33100899,0.509339975,0.287118287,8.932865863,Covid-19
5,166,203,297,26.62338547,8.321671474,61.42031022,14.53814859,129.4036145,0.81773399,0.94989473,3.199283408,2.307006007,7.38076604,0.81773399,0.558922559,4.224768363,Covid-19
7,243,293,490,35.08559767,9.245588771,82.14823228,17.58969043,129.6584362,0.829351536,0.96465524,3.79484731,2.341366194,8.885127201,0.829351536,0.495918367,4.670248894,Covid-19
1,103,137,204,20.60689022,9.133443763,50.97056275,11.45179781,176.0291262,0.751824818,0.89641148,2.256201577,2.473471844,5.580651075,0.751824818,0.504901961,4.450878682,Covid-19
2,127,141,150,28.36591121,6.024876037,57.3137085,12.71618741,162.007874,0.90070922,0.977183141,4.708131924,2.020513569,9.512844438,0.90070922,0.846666667,4.50714563,Covid-19
1,1125,5154,10044,87.79749002,70.98487681,440.1665222,37.84698783,139.0657778,0.218277066,0.588486692,1.236847818,5.013429451,6.20084928,0.218277066,0.112007168,11.63015995,Covid-19
2,334,445,464,35.22178695,16.62433772,103.1482323,20.62188177,166.1197605,0.750561798,0.881603803,2.118688128,2.928534898,6.204652121,0.750561798,0.719827586,5.001882631,Covid-19
3,252,334,420,22.2428644,17.76360708,80.73401872,17.91246396,137.1507937,0.754491018,0.601834966,1.252159221,3.629659258,4.54491131,0.754491018,0.6,4.507142003,Covid-19
